customer_id,date_of_complain,time_of_complain,complaint_text,response_text,Intent,complaint_id
1177,2022-06-25,04:45 PM,Unable to use a discount code for a bulk order during checkout,"We're sorry for the inconvenience. Please double-check the code and ensure it's applicable to bulk orders. If the issue persists, contact us for assistance.",Positive Customer Service,10377
1178,2022-06-26,06:30 PM,Incorrect weight listed for a kitchen appliance on the website,Thank you for bringing this to our attention. We'll review and update the product information on our website.,Product Issue,10378
1179,2022-06-27,08:15 AM,Product received is missing user instructions,"We apologize for the oversight. Please provide details about the missing instructions, and we'll arrange for a replacement or send the instructions separately.",Order Fulfillment Error,10379
1180,2022-06-28,10:00 AM,Website showing incorrect product availability during a flash sale,Thank you for bringing this to our attention. We'll investigate the issue and ensure accurate product availability is reflected during flash sales.,Positive Feedback,10380
1181,2022-06-29,11:45 AM,Received an incomplete set in the order,"We apologize for the oversight. Please provide your order number and details of the missing items, and we'll ship them separately or process a refund.",Order Fulfillment Error,10381
1182,2022-06-30,01:30 PM,Difficulty using the website's chat support feature,Thank you for bringing this to our attention. We'll investigate the issue and ensure smooth functionality of the website's chat support feature.,Positive Customer Service,10382
1183,2022-07-01,03:15 PM,Received a wrong size variant for a home decor item,"We apologize for the mix-up. Please contact our customer support with your order details, and we'll arrange for the correct size variant to be sent or offer a return.",Order Fulfillment Error,10383
1184,2022-07-02,05:00 PM,Website not displaying order history for the past week,Thank you for bringing this to our attention. We'll investigate the issue and ensure accurate order history is displayed on our website.,Product Issue,10384
1185,2022-07-03,06:45 PM,Received an incomplete set of accessories in the order,"We apologize for the oversight. Please provide your order number and details of the missing accessories, and we'll ship them separately or process a refund.",Order Fulfillment Error,10385
1186,2022-07-04,08:30 AM,Difficulty using the website's filter options for product search,Thank you for bringing this to our attention. We'll investigate the issue and improve the functionality of the website's filter options.,Positive Feedback,10386
1187,2022-07-05,10:15 AM,Received a wrong pattern variant for a clothing item,"We apologize for the mix-up. Please contact our customer support with your order details, and we'll arrange for the correct pattern variant to be sent or offer a return.",Order Fulfillment Error,10387
1188,2022-07-06,12:00 PM,Unable to update billing information on the account,Thank you for bringing this to our attention. We'll investigate the issue and resolve it as soon as possible.,Product Issue,10388
1189,2022-07-07,01:45 PM,Product received is missing essential components,"We apologize for the oversight. Please provide details about the missing components, and we'll arrange for their shipment or offer a refund.",Order Fulfillment Error,10389
1190,2022-07-08,03:30 PM,Incorrect product specifications listed on the website,Thank you for bringing this to our attention. We'll review and update the product specifications on our website.,Product Issue,10390
1191,2022-07-09,05:15 PM,Received a wrong color variant for a clothing item,"We apologize for the mix-up. Please contact our customer support with your order details, and we'll arrange for the correct color variant to be sent or offer a return.",Order Fulfillment Error,10391
1192,2022-07-10,07:00 PM,Difficulty applying a store coupon during checkout,"We're sorry for the inconvenience. Please ensure the store coupon is still valid and try again. If the issue persists, contact us for assistance.",Positive Customer Service,10392
1193,2022-07-11,08:45 AM,Received a damaged gardening tool in the order,"We apologize for the inconvenience. Please provide your order number, and we will arrange a replacement or refund for the damaged gardening tool.",Product Issue,10393
1194,2022-07-12,10:30 AM,Unable to use a promotional gift card during checkout,"We're sorry for the inconvenience. Please ensure your promotional gift card is valid and try again. If the issue persists, contact us for assistance.",Positive Customer Service,10394
1195,2022-07-13,12:15 PM,Product size received is smaller than expected,"We apologize for any discrepancies. Please contact our customer support with your order details, and we'll arrange for the correct size or offer a return.",Order Fulfillment Error,10395
1196,2022-07-14,02:00 PM,Difficulty accessing the account dashboard on the mobile app,Thank you for bringing this to our attention. We'll investigate the issue and ensure seamless access to the account dashboard on our mobile app.,Positive Customer Service,10396
1197,2022-07-15,03:45 PM,Received a wrong pattern variant for a tech accessory,"We apologize for the mix-up. Please contact our customer support with your order details, and we'll arrange for the correct pattern variant to be sent or offer a return.",Order Fulfillment Error,10397
1198,2022-07-16,05:30 PM,Incorrect order status displayed on the website,"We apologize for the confusion. Please provide your order number, and we'll ensure the correct order status is reflected on our website.",Order Fulfillment Error,10398
1199,2022-07-17,07:15 PM,Received an expired promotional code,"We're sorry for the inconvenience. Please provide details about the expired promotional code, and we'll issue a new one or provide an alternative offer.",Positive Customer Service,10399
1200,2022-07-18,09:00 AM,Difficulty accessing the live chat support feature on the website,"We apologize for the inconvenience. Our live chat support team may be busy. Please try again later, or contact us via email or phone for assistance.",Positive Customer Service,10400
